id_uf,ano,gini_pib,gini_va_agro,gini_va_industria,gini_va_servicos,gini_va_adespss
27,2015,0.747634,0.565432,0.883813,0.850193,0.571343
25,2015,0.784818,0.54627,0.904752,0.871539,0.614216
32,2015,0.757844,0.427385,0.816763,0.788465,0.624085
35,2015,0.871508,0.540168,0.850831,0.900963,0.788259
51,2015,0.702834,0.581297,0.793065,0.799639,0.62779
31,2015,0.819167,0.60103,0.895453,0.860978,0.67921
50,2015,0.681231,0.470406,0.803588,0.780133,0.630728
22,2015,0.770228,0.689817,0.910383,0.871651,0.593564
33,2015,0.828041,0.544624,0.826354,0.852796,0.765811
29,2015,0.77591,0.625929,0.897187,0.840157,0.565147
24,2015,0.799565,0.630401,0.88538,0.88202,0.646699
14,2015,0.736321,0.342439,0.857514,0.866975,0.652941
15,2015,0.716042,0.479525,0.879594,0.817096,0.551681
21,2016,0.716927,0.46907,0.886096,0.808752,0.525547
24,2016,0.800925,0.656937,0.883038,0.881091,0.647395
26,2016,0.790401,0.615988,0.893473,0.852449,0.600472
29,2016,0.776509,0.566998,0.90153,0.841915,0.566643
14,2016,0.732934,0.382918,0.848332,0.863358,0.650846
11,2016,0.690432,0.316655,0.840719,0.798749,0.606281
27,2016,0.73483,0.615182,0.88492,0.844848,0.571562
43,2016,0.776248,0.49139,0.857862,0.841423,0.714004
15,2016,0.701392,0.492125,0.873583,0.80897,0.553274
51,2016,0.699514,0.601451,0.787606,0.798842,0.629895
35,2016,0.870776,0.526231,0.858813,0.900318,0.78747
23,2016,0.789309,0.499934,0.8882,0.855876,0.600647
33,2016,0.832271,0.541626,0.824763,0.855056,0.7676
32,2016,0.747877,0.411545,0.807779,0.786643,0.620238
22,2016,0.769381,0.575852,0.901468,0.871452,0.595434
41,2016,0.772889,0.419016,0.864183,0.830089,0.692711
13,2016,0.866237,0.555895,0.968105,0.92131,0.665315
52,2016,0.783067,0.624552,0.850306,0.849538,0.723813
42,2016,0.755703,0.435942,0.78592,0.812276,0.68374
50,2016,0.675015,0.476323,0.803038,0.770738,0.631607
17,2016,0.716685,0.476581,0.877819,0.851732,0.595701
31,2016,0.810631,0.630857,0.8903,0.857615,0.67766
12,2016,0.682746,0.311201,0.825973,0.836326,0.594845
25,2016,0.780546,0.562239,0.906491,0.866847,0.611422
16,2016,0.759556,0.33791,0.739935,0.853799,0.722484
28,2016,0.737925,0.494068,0.839662,0.831544,0.585828
27,2017,0.717591,0.588118,0.877398,0.84147,0.567748
24,2017,0.792455,0.667393,0.868304,0.876624,0.64351
52,2017,0.784806,0.633292,0.849079,0.847496,0.7246
33,2017,0.830283,0.538452,0.823022,0.850943,0.767908
12,2017,0.683597,0.306049,0.813889,0.830749,0.590814
35,2017,0.867509,0.519708,0.850963,0.897678,0.785358
26,2017,0.790723,0.616533,0.892935,0.852845,0.599739
25,2017,0.780096,0.521493,0.907742,0.867096,0.610224
13,2017,0.864297,0.556415,0.965682,0.918286,0.659527
51,2017,0.703153,0.609298,0.777428,0.797314,0.631629
28,2017,0.73031,0.473161,0.838331,0.824887,0.588251
43,2017,0.780458,0.496425,0.853089,0.84221,0.712162
23,2017,0.776891,0.497912,0.880743,0.849496,0.60028
21,2017,0.719273,0.542646,0.897031,0.811293,0.523498
42,2017,0.760321,0.422748,0.788687,0.812302,0.683061
22,2017,0.762341,0.704919,0.89518,0.867652,0.594298
31,2017,0.814644,0.646682,0.891439,0.85783,0.676989
41,2017,0.773335,0.430056,0.857697,0.829301,0.689404
16,2017,0.760113,0.339796,0.75451,0.859042,0.71869
50,2017,0.679411,0.48932,0.800713,0.774482,0.630297
11,2017,0.691572,0.334891,0.868419,0.798214,0.609603
17,2017,0.715442,0.515772,0.871428,0.83818,0.596494
29,2017,0.781992,0.650344,0.897263,0.841902,0.568104
15,2017,0.713949,0.486085,0.894077,0.809613,0.54637
32,2017,0.744252,0.417868,0.798919,0.785532,0.620705
14,2017,0.732891,0.42142,0.859501,0.863469,0.647277
12,2018,0.694903,0.31434,0.829399,0.826848,0.593755
41,2018,0.772714,0.427226,0.855303,0.828907,0.691606
15,2018,0.716724,0.488124,0.894283,0.806291,0.542517
14,2018,0.739614,0.366368,0.852196,0.862105,0.657153
13,2018,0.864342,0.54559,0.961992,0.916696,0.659656
23,2018,0.784155,0.496454,0.887583,0.856837,0.599159
